title,date,place,tier,event,prize_usd,source
BGMI,2025-09-14,5th,A-Tier,BGMI Masters Series Season 4,6230,https://liquipedia.net/pubgmobile/Revenant_XSpark
BGMI,2026-03-29,7th,A-Tier,Battlegrounds Mobile India Series 2026,14771,https://liquipedia.net/pubgmobile/Revenant_XSpark
BGMI,2026-04-29,1st,C-Tier,OneGame Championship Summer Series,3698,https://liquipedia.net/pubgmobile/Revenant_XSpark
VALORANT,2025-03-21,2nd,B-Tier,VALORANT Challengers 2025 South Asia Split 1,7412.64,https://liquipedia.net/valorant/Revenant_XSpark
VALORANT,2025-06-01,1st,B-Tier,VALORANT Challengers 2025 South Asia Split 2,14023.83,https://liquipedia.net/valorant/Revenant_XSpark
VALORANT,2026-06-27,3rd,B-Tier,VALORANT Challengers 2026 South Asia Split 2,1907.58,https://liquipedia.net/valorant/Revenant_XSpark
Brawl Stars,2025-11-30,3rd-4th,S-Tier,Brawl Stars World Finals 2025,80000,https://liquipedia.net/brawlstars/Revenant_XSpark
Brawl Stars,2026-05-17,5th-8th,S-Tier,Brawl Stars Championship 2026 Brawl Cup,5000,https://liquipedia.net/brawlstars/Revenant_XSpark
Pokemon UNITE,2025-02-02,1st,A-Tier,Pokemon UNITE Winter Tournament - India,3000,https://liquipedia.net/pokemon/Revenant_XSpark
Pokemon UNITE,2025-04-06,2nd,A-Tier,Pokemon UNITE Championship Series 2025 - India Qualifier,7500,https://liquipedia.net/pokemon/Revenant_XSpark
Pokemon UNITE,2026-04-26,2nd,A-Tier,Pokemon UNITE Championship Series 2026 - India Qualifier,4000,https://liquipedia.net/pokemon/Revenant_XSpark
Free Fire MAX,2025-09-28,6th,A-Tier,Free Fire MAX India Cup 2025,2819,https://liquipedia.net/freefire/Revenant_XSpark
Free Fire MAX,2026-04-26,6th,A-Tier,Free Fire MAX India Cup 2026 Spring,4244,https://liquipedia.net/freefire/Revenant_XSpark
Free Fire MAX,2026-05-30,1st,C-Tier,Liquid Esports Free Fire Asia Invitational Gateway 2026 Season 2,1500,https://liquipedia.net/freefire/Revenant_XSpark
Honor of Kings,2026-03-22,1st,C-Tier,Kings Arise India City Tour - Bengaluru,531.86,https://liquipedia.net/honorofkings/Revenant_Esports/Results
Honor of Kings,2026-05-17,1st,Qualifier,Kings Arise India: KWC at EWC26 Qualifier,1823.48,https://liquipedia.net/honorofkings/Honor_of_Kings_World_Cup/2026/India
