side,snapshot,ign,real_name,role,joined,departed_or_replaced,verified_pre_merge_stats_or_honors,earnings_2024_usd,source
Team XSpark,Merger launch roster,Shadow7,Tenzin Kelsang,In-game leader,2024-02-22,2025-08-15,"BGIS 2024 champion; BMPS 2024 champion; Titans Rising Best IGL",42630,https://liquipedia.net/pubgmobile/Shadow7
Team XSpark,Merger launch roster,SPRAYGOD,Harsh Malik,Assaulter,2023-11-10,2025-05-07,"BGIS 2024 champion; BMPS 2024 overall MVP; 98 overall event finishes",47010,https://liquipedia.net/pubgmobile/SPRAYGOD
Team XSpark,Merger launch roster,Sarang,Sarangajyoti Deka,Support,2023-06-04,2025-08-15,"BGIS finals: 29 eliminations; BMPS finals: 31 finishes; BMPS Finals MVP",42412,https://liquipedia.net/pubgmobile/Sarang
Team XSpark,Merger launch roster,Jokerr,Khush Singh,Support,2024-08-19,2025-04-11,"BMPS finals: 31 finishes; Finals Survivor; two match MVPs on finals day 2",47950,https://liquipedia.net/pubgmobile/Jokerr
Team XSpark,BGIS title roster,NinjaJOD,Shubham Ranjan Sahoo,Entry fragger,2024-01-07,2024-08-19,"BGIS finals: 27 eliminations; FCS Grand Finals MVP; iQOO Pro Series MVP",24536,https://liquipedia.net/pubgmobile/NinjaJOD
Revenant Esports,Early-2024 core,SENSEI,Deepak Negi,IGL,2023-04-19,2024-12-07,"Multiverse Series champion; ESL 6th; team Most WWCD award",,https://liquipedia.net/pubgmobile/SENSEI
Revenant Esports,Early-2024 core,Fierce,Ritesh Nawandar,Not consistently published,2023-06-09,2024-06-30,"Multiverse Series champion; Battle For Swaraj semi-finals MVP; Skyesports 5.0 MVP in 2023",,https://liquipedia.net/pubgmobile/Fierce
Revenant Esports,Early-2024 core,AquaNox,Harsh Rao,Not consistently published,2024-01-12,2024-06-30,"ESL Challenge Finals: 27 eliminations; fifth on finals elimination ranking",,https://liquipedia.net/pubgmobile/AquaNox
Revenant Esports,Early-2024 core,Blaze,Hamza Khozema Hyderabadwala,Not consistently published,2024-01-12,2024-06-30,"Multiverse Series champion; ESL 6th",,https://liquipedia.net/pubgmobile/Blaze
Revenant Esports,Spring roster,Punkk,Ashutosh Singh,In-game leader,2024-03-29,2024-06-30,"Played spring invitationals; left before the final rebuild",,https://liquipedia.net/pubgmobile/Punkk
Revenant Esports,Final roster at 2024-10-31,SENSEI,Deepak Negi,IGL,2023-04-19,2024-12-07,"Gauntlet Season 1 runner-up; BGMS Season 3 20th",,https://liquipedia.net/pubgmobile/SENSEI/Results
Revenant Esports,Final roster at 2024-10-31,Blaze,Hamza Khozema Hyderabadwala,Not consistently published,2024-07-15,2024-12-07,"Gauntlet Season 1 runner-up",,https://liquipedia.net/pubgmobile/Blaze
Revenant Esports,Final roster at 2024-10-31,Flawk,Taranjeet Singh Walia,Not consistently published,2024-07-15,2024-12-07,"Gauntlet Season 1 runner-up",,https://liquipedia.net/pubgmobile/Flawk
Revenant Esports,Final roster at 2024-10-31,Saif,Saifullah Danish,Not consistently published,2024-07-15,2024-12-07,"Gauntlet Season 1 runner-up; prior BGIS 2023 runner-up and FMVP",,https://liquipedia.net/pubgmobile/Saif
Revenant Esports,Final roster at 2024-10-31,KRATOS,Rohit Saxena,Not consistently published,2024-08-19,2024-12-07,"Limited published pre-cutoff player-level combat data",,https://liquipedia.net/pubgmobile/Revenant_Esports
