date,place,tier,tournament,prize_usd,roster_context,source
2024-01-05,11th,C-Tier,Upthrust Survivors Saga Season 3,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-01-06,11th,B-Tier,The World Of Battle: Winter Invitational,120,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-01-17,17th,C-Tier,Bingo! Nachos GAMEON CUP,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-01-17,1st,B-Tier,Upthrust Esports - The Multiverse Series 2024,3611,SENSEI Fierce AquaNox Blaze core; team also earned Most WWCD award,https://liquipedia.net/pubgmobile/Revenant_Esports
2024-01-21,7th,Showmatch,UE - The Multiverse Series 2024: The Final Showdown,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-01-31,19th,B-Tier,Upthrust Esports - The Patriot Cup,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-02-01,13th,B-Tier,iQOO Pro Series 2024,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-02-11,16th,B-Tier,RA Esports - Rising Star Showdown Season 3,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-02-18,6th,A-Tier,ESL Snapdragon Pro Series: 2024 BGMI,6746,SENSEI Fierce AquaNox Blaze core; AquaNox fifth in finals eliminations with 27,https://liquipedia.net/pubgmobile/ESL/Snapdragon_Pro_Series/2024/BGMI
2024-02-24,1st-16th,A-Tier,iQOO India League 2024,3016,Placement listed as a shared range,https://liquipedia.net/pubgmobile/Revenant_Esports
2024-02-29,11th,C-Tier,OnePlus Dominate Arena 2024 - February Edition,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-03-10,5th,B-Tier,Skyesports Champions Series 2024,363,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-03-10,25th,B-Tier,Upthrust Esports India Rising 2024,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-03-19,18th,C-Tier,Lidoma Masters Showdown,-,Early-2024 roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-04-03,5th,B-Tier,Skyesports Mobile Open 2024,360,Punkk-era spring roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-04-17,4th,B-Tier,OneGame Pro Championship Season 1,897,Punkk-era spring roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-05-01,11th,B-Tier,RA Esports - Champions Gala Season 1,599,Punkk-era spring roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-05-08,9th,C-Tier,Clash of Warriors Season 2,-,Punkk-era spring roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-05-29,6th,B-Tier,RA Esports - Battle For Swaraj Season 1,-,Fierce won semi-finals MVP,https://liquipedia.net/pubgmobile/Revenant_Esports
2024-05-29,6th,B-Tier,Upthrust Esports Challengers Showdown Season 2,-,Punkk-era spring roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-07-11,17th,B-Tier,Rooter x APL Invitational Series,-,Transition/rebuilt roster,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-08-07,20th,A-Tier,BGMI Masters Series Season 3,298,Final-era SENSEI Blaze Flawk Saif core,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-08-19,2nd,B-Tier,Gauntlet Season 1,2384,Final-era rebuilt roster; KRATOS joined on this date,https://liquipedia.net/pubgmobile/SENSEI/Results
2024-09,40th,A-Tier,Battlegrounds Mobile India Pro Series 2024,-,Revenant participated but did not reach the 16-team grand finals,https://www.talkesport.com/news/bmps-2024-battlegrounds-mobile-india-pro-series/
