date,place,tier,tournament,prize_usd,notes,source
2024-01-06,12th,B-Tier,The World Of Battle: Winter Invitational,120,Team-page record; not every regular starter necessarily played,https://liquipedia.net/pubgmobile/Revenant_XSpark/Results
2024-01-17,18th,C-Tier,Bingo! Nachos GAMEON CUP,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-01-17,5th,B-Tier,Upthrust Esports - The Multiverse Series 2024,602,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-01-21,11th,Showmatch,UE - The Multiverse Series 2024: The Final Showdown,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-01-31,24th,B-Tier,Upthrust Esports - The Patriot Cup,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-02-01,5th,B-Tier,iQOO Pro Series 2024,903,NinjaJOD won MVP,https://liquipedia.net/pubgmobile/Revenant_XSpark
2024-02-04,25th,A-Tier,ESL Snapdragon Pro Series: 2024 BGMI,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-02-11,23rd,B-Tier,RA Esports - Rising Star Showdown Season 3,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-02-24,1st-16th,A-Tier,iQOO India League 2024,3016,Placement listed as a shared range in Liquipedia,https://liquipedia.net/pubgmobile/Revenant_XSpark
2024-03-10,13th,B-Tier,Skyesports Champions Series 2024,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-03-19,3rd,C-Tier,Lidoma Masters Showdown,603,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-03-28,15th,B-Tier,Upthrust Esports India Rising 2024,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-04-03,3rd,B-Tier,Skyesports Mobile Open 2024,1198,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-04-17,12th,B-Tier,OneGame Pro Championship Season 1,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-05-01,8th,B-Tier,RA Esports - Champions Gala Season 1,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-05-08,4th,C-Tier,Clash of Warriors Season 2,599,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-05-15,29th-30th,B-Tier,RA Esports - Battle For Swaraj Season 1,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-05-29,10th,B-Tier,Upthrust Esports Challengers Showdown Season 2,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-06-19,2nd,C-Tier,Fearless Championship Series Season 1,1919,Sarang league MVP; NinjaJOD grand finals MVP,https://liquipedia.net/pubgmobile/Revenant_XSpark
2024-06-22,12th,C-Tier,Battle For Revolution Season 3,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-06-22,22nd,C-Tier,Ultimate Regional Rivalry Season 2,-,Separate event on the same date,https://liquipedia.net/pubgmobile/Revenant_XSpark/Results
2024-06-30,1st,A-Tier,Battlegrounds Mobile India Series 2024,71973,142 points; roster Shadow7 SPRAYGOD Sarang NinjaJOD,https://liquipedia.net/pubgmobile/Battlegrounds_Mobile_India_Series/2024
2024-07-11,23rd,B-Tier,Rooter x APL Invitational Series,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-08-11,9th,A-Tier,BGMI Masters Series Season 3,1787,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-08-17,8th,Showmatch,Freedom Face-Off,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-09-29,1st,A-Tier,Battlegrounds Mobile India Pro Series 2024,89586,158 points; roster Shadow7 SPRAYGOD Sarang Jokerr,https://liquipedia.net/pubgmobile/Battlegrounds_Mobile_India_Pro_Series/2024
2024-10-13,16th,B-Tier,Gauntlet Season 2,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-10-24,22nd,B-Tier,THUG Invitational 2024,-,,https://liquipedia.net/pubgmobile/SPRAYGOD/Results
2024-10-27,15th,B-Tier,Titans Rising,-,Shadow7 Best IGL; team won Fan Favourite Team,https://liquipedia.net/pubgmobile/Revenant_XSpark
